Model;Optimizer;Loss function;Epoch;Batch size
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 800, tanh), Dropout(0.8), Dense(800 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1000, tanh), Dropout(0.8), Dense(1000 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 400, tanh), Dropout(0.8), Dense(400 => 200, tanh), Dropout(0.8), Dense(200 => 200, tanh), Dropout(0.8), Dense(200 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 600, tanh), Dropout(0.8), Dense(600 => 400, tanh), Dropout(0.8), Dense(400 => 400, tanh), Dropout(0.8), Dense(400 => 1));OAdam(0.001, (0.5, 0.9), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaGrad(0.1, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaDelta(0.9, 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AMSGrad(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));NAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));RAdam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));AdaMax(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}());loss_mae;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mse;150;64
Chain(Dense(2 => 800, tanh), Dropout(0.8), Dense(800 => 600, tanh), Dropout(0.8), Dense(600 => 600, tanh), Dropout(0.8), Dense(600 => 1));Flux.Optimise.Optimiser(Any[Adam(0.001, (0.9, 0.999), 1.0e-8, IdDict{Any, Any}()), WeightDecay(0)]);loss_mae;150;64
